94,48
92,50
92,52
93,56
94,59
96,63
100,67
102,68
105,70
109,72
111,75
115,76
118,77
120,78
122,79
121,82
119,84
117,85
114,87
112,88
109,87
107,86
105,86
103,85
96,84
94,83
91,83
88,83
84,84
81,84
79,84
75,85
73,87
72,89
68,93
65,95
62,97
58,98
56,99
52,100
49,102
43,107
40,108
37,111
32,113
33,108
41,104
48,101
50,97
46,97
41,96
34,95
30,93
30,92
33,89
38,84
39,75
46,69
49,59
41,50
46,49
48,44
54,44
58,44
64,41
67,41
75,44
80,48
84,46
87,46
92,47
93,47
126,81
121,86
124,90
128,93
133,94
138,97
146,97
139,101
135,102
131,102
127,103
122,104
118,104
115,106
119,109
122,111
118,113
113,114
105,114
92,113
87,112
81,113
75,113
70,113
68,111
65,108
62,107
56,108
49,109
46,109
44,114
40,114
38,117
35,119
34,121
32,122
30,125
29,129
27,133
25,136
25,139
25,142
32,141
40,140
44,140
49,139
46,146
44,148
42,151
44,157
47,159
45,164
50,166
50,172
45,175
41,176
46,181
52,185
44,189
39,189
38,183
37,178
31,175
30,180
32,185
29,188
26,189
26,193
33,195
36,196
39,191
45,197
51,203
56,205
54,213
53,216
49,216
54,222
51,225
52,230
58,230
63,233
64,237
60,242
57,241
53,241
52,244
57,244
68,245
77,244
84,244
87,244
80,249
78,251
79,254
79,258
77,260
82,260
86,254
88,253
94,254
95,258
98,261
101,262
104,259
108,260
110,262
110,267
111,270
111,272
113,275
119,277
125,281
131,283
138,282
143,280
147,278
153,283
158,270
158,260
163,256
169,258
183,260
188,263
194,266
201,271
207,275
210,279
212,283
219,289
225,292
234,293
241,292
246,292
252,291
258,290
260,289
264,286
269,285
272,278
276,276
283,270
286,268
290,266
294,266
299,267
307,269
313,271
319,273
323,270
326,266
331,265
336,262
339,263
341,267
339,272
336,275
332,279
331,282
329,285
331,290
332,295
332,298
336,300
338,302
345,296
349,287
357,286
353,277
354,270
356,264
366,264
373,267
382,269
392,264
401,262
410,260
424,260
431,265
444,266
452,265
458,263
466,258
473,255
478,252
489,248
498,247
506,248
516,247
524,244
530,242
533,238
537,237
540,241
547,243
548,238
554,233
557,234
567,232
574,233
577,234
590,234
594,231
598,231
598,237
602,245
608,238
613,235
617,234
615,230
611,224
611,213
598,209
604,189
598,187
594,176
597,168
589,164
595,158
589,156
586,149
595,145
601,130
589,121
573,122
567,108
571,98
568,89
563,85
562,78
554,78
550,73
546,68
539,66
533,64
531,68
527,68
515,68
511,70
506,70
502,70
495,75
489,79
483,82
476,86
465,90
457,95
451,94
446,93
440,90
434,90
429,90
419,92
412,94
403,95
397,96
392,94
389,93
384,89
377,91
368,89
361,87
361,82
354,81
346,83
339,80
337,73
334,66
319,69
314,67
305,60
306,54
305,50
299,53
293,56
285,56
279,57
274,56
269,56
261,54
254,54
239,58
230,59
217,65
208,72
198,76
195,79
197,83
184,88
171,88
163,85
158,83
154,86
143,84
135,82
128,81
126,81
